Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Imóvel Novo,"Rua Hermínio Cézar, 55 - Jardim Proença, Campinas - SP",83-86,A partir de R$ 688.000,Na planta,2558210686
Imóvel Novo,"Rua Anésio Lafayette Raizer, 156 - Loteamento Santa Ana do Atibaia Sousas, Campinas - SP",155-163,R$ 1.537.738,Na planta,2552509067
Imóvel Novo,"Rua Santa Rita do Passa Quatro, 575 - Jardim Nova Europa, Campinas - SP",80,R$ 528.412,Pronto para morar,2562705900
Imóvel Novo,"Rua Valdomiro Teixeira do Nascimento, s/n - Jardim Ibirapuera, Campinas - SP",34-36,De R$ 170.000 até R$ 232.000 R$ 170.000,Em construção,2558203066
Imóvel Novo,"Rua Bernardo José Sampaio, 119 - Botafogo, Campinas - SP",64-75,R$ 509.000,Pronto para morar,2552507952
Imóvel Novo,"Rua Antônio Lapa, 118 - Cambuí, Campinas - SP",139,Sob Consulta,Na planta,2537438303
Imóvel Novo,"Avenida Governador Pedro de Toledo, 905 - Bonfim, Campinas - SP",54-67,R$ 426.657,Pronto para morar,2562696421
Imóvel Novo,"Rua Bernardo José Sampaio, 119 - Botafogo, Campinas - SP",64-75,De R$ 607.574 até R$ 742.220 R$ 607.574,Em construção,2565053635
Imóvel Novo,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",80,R$ 645.321,Em construção,2545377416
Imóvel Novo,"Rua Carolina Florence, 229 - Jardim Guanabara, Campinas - SP",68-78,R$ 672.082,Na planta,2562700255
Imóvel Novo,"Avenida Nossa Senhora de Fátima, 730 - Taquaral, Campinas - SP",125-155,R$ 1.420.000,Pronto para morar,2559175368
Imóvel Novo,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-67,R$ 433.210,Em construção,2541866700
Imóvel Novo,"Rua Professor Orestes Carlos Segallio, 212 - Parque Industrial, Campinas - SP",52-54,R$ 301.490,Em construção,2562703248
Imóvel Novo,"Rua Dona Prisciliana Soares, 169 - Cambuí, Campinas - SP",48-51,De R$ 583.400 até R$ 675.100 R$ 583.400,Na planta,2565052961
Imóvel Novo,"Avenida Dermival Bernardes Siqueira, 2175 - Swiss Park, Campinas - SP",91,R$ 765.000,Em construção,2559476261
Imóvel Novo,"Avenida Dermival Bernardes Siqueira, 2175 - Swiss Park, Campinas - SP",91-109,R$ 695.000,Em construção,2557382445
Imóvel Novo,"Rua Hermínio Cézar, 57 - Jardim Proença, Campinas - SP",81-84,De R$ 696.000 até R$ 734.000 R$ 696.000,Na planta,2548530190
Imóvel Novo,"Rua Hermínio Cézar, 55 - Jardim Proença, Campinas - SP",83-86,R$ 688.000,Na planta,2551525397
Imóvel Novo,"Rua Doutor Paulo Castro Pupo Nogueira, 40 - Nova Campinas, Campinas - SP",125,R$ 1.635.000,Em construção,2559183365
Imóvel Novo,"Rua Serra Dourada, 101 - Jardim Proença, Campinas - SP",46-55,R$ 256.118,Em construção,2562702059
Imóvel Novo,"Avenida Monsenhor Jerônimo Baggio, 263 - Jardim Nossa Senhora Auxiliadora, Campinas - SP",55-75,R$ 595.000,Pronto para morar,2552507074
Imóvel Novo,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-80,R$ 493.104,Na planta,2556097932
Imóvel Novo,"Rua Doutor Liráucio Gomes, 119 - Cambuí, Campinas - SP",90,R$ 1.173.816,Em construção,2552510839
Imóvel Novo,"Rua Doutor Emílio Ribas, 314 - Cambuí, Campinas - SP",157-218,R$ 2.111.846,Em construção,2557360544
Imóvel Novo,"Rua Maria Monteiro, 536 - Cambuí, Campinas - SP",39-110,Sob Consulta,Em construção,2545378315
Imóvel Novo,"Rua Antônio Lapa, 118 - Cambuí, Campinas - SP",139,Sob Consulta,Na planta,2539257508
Imóvel Novo,"Rua São Salvador, 730 - Jardim Belo Horizonte, Campinas - SP",125-155,R$ 1.540.000,Pronto para morar,2563316259
Imóvel Novo,"Rua Maria Monteiro, 330 - Cambuí, Campinas - SP",190-397,R$ 3.099.630,Na planta,2552411579
Imóvel Novo,"Avenida Doutor Manoel Afonso Ferreira, 779 - Jardim Paraíso, Campinas - SP",88-111,Sob Consulta,Em construção,2565035881
Imóvel Novo,"Avenida Brasil, 590 - Jardim Brasil, Campinas - SP",107-217,De R$ 1.364.100 até R$ 1.820.300 R$ 1.364.100,Pronto para morar,2565051440
Imóvel Novo,"Rua Capitão Francisco de Paula, 125 - Cambuí, Campinas - SP",43-86,De R$ 516.000 até R$ 998.000 R$ 516.000,Na planta,2558199448
Imóvel Novo,"Rua Severo Penteado, 111 - Cambuí, Campinas - SP",213-371,R$ 2.350.000,Em construção,2558198003
Imóvel Novo,"Rua Orlando Fagnani, 92 - Jardim Planalto, Campinas - SP",105,Sob Consulta,Na planta,2536696973
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.678.100,Na planta,2557909690
Imóvel Novo,"Rua Doutor Mário Natividade, 1266 - Taquaral, Campinas - SP",66-89,R$ 640.410,Em construção,2557366540
Imóvel Novo,"Rua Doutor Antônio Sousa Campos - Cambuí, Campinas - SP",129,R$ 1.586.999,Em construção,2487531902
Imóvel Novo,"Rua Padre Almeida, 652 - Cambuí, Campinas - SP",158-186,De R$ 1.767.000 até R$ 2.354.000 R$ 1.767.000,Na planta,2558210185
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126,R$ 1.430.596,Na planta,2539256892
Imóvel Novo,"Rua Doutor Antônio Galízia, 45 - Cambuí, Campinas - SP",316,R$ 4.200.000,Em construção,2559183864
Imóvel Novo,"Rua Doutor Souza Ribeiro, s/n - Vila Satúrnia, Campinas - SP",36-43,R$ 238.490,Na planta,2563314773
Imóvel Novo,"Rua Piquete, 678 - Jardim Itamarati, Campinas - SP",56-58,R$ 501.000,Em construção,2552506160
